A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,Class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
0.0,#,#,#,#,0.0,#,#,#,#,0.0,0.0,0.11365797640864939,0.6473214285714286,1,73.51999946403689,4984,1563,0.2727272727272727,0.000904012295755273,290,448
#,1.0,0.0,1.0,#,#,#,1.0,#,1.0,#,1.0,0.22965034521487823,0.7450980392156863,1,82.82593952305494,4980,1564,0.45454545454545453,0.0010184394488869733,76,102
1.0,#,0.0,#,1.0,#,#,1.0,#,#,0.0,1.0,0.2706784157,0.77,1,78.6632250270862,4923,1586,0.45454545454545453,0.0009672541235944283,77,100
0.0,0.0,1.0,#,0.0,#,#,#,#,#,#,0.0,1.0,1.0,14,65.05124374206929,4984,1596,0.36363636363636365,0.011198309912403911,225,225
0.0,#,0.0,0.0,#,#,#,0.0,#,#,1.0,0.0,0.210103396046206,0.7319587628865979,1,78.07471139733809,4976,1610,0.45454545454545453,0.0009600176768943423,71,97
0.0,#,0.0,1.0,#,#,#,0.0,1.0,1.0,#,1.0,0.2373046875,0.75,1,68.15094373826852,4808,1615,0.5454545454545454,0.0008379936283440458,48,64
0.0,#,0.0,0.0,#,0.0,#,#,0.0,#,#,0.0,1.0,1.0,1,78.07427649923623,4971,1616,0.45454545454545453,0.0009600123293258665,99,99
#,0.0,0.0,0.0,#,#,#,0.0,#,#,#,0.0,1.0,1.0,8,74.15899400654584,4971,1641,0.36363636363636365,0.007294955703099829,214,214
#,#,0.0,#,#,1.0,1.0,#,#,1.0,#,1.0,0.18905406764403293,0.7166666666666667,1,70.18350451186977,4962,1661,0.36363636363636365,0.000862986282650364,129,180
0.0,#,1.0,#,0.0,#,0.0,#,#,#,#,0.0,1.0,1.0,14,68.74466594131766,4984,1672,0.36363636363636365,0.011834117685557798,221,221
1.0,#,#,0.0,#,1.0,1.0,0.0,0.0,#,#,0.0,0.4182119423999999,0.84,2,78.5226206501272,4787,1683,0.5454545454545454,0.0019310504646389498,42,50
#,1.0,#,#,#,#,#,#,#,1.0,1.0,1.0,0.21538466792042543,0.7356020942408377,2,69.47718081852568,4975,1734,0.2727272727272727,0.0017086024535428064,281,382
0.0,#,#,1.0,1.0,#,#,#,#,#,#,1.0,0.2402933738360162,0.7518796992481203,1,75.68844234056529,4980,1755,0.2727272727272727,0.000930675775588179,300,399
0.0,#,1.0,#,1.0,1.0,#,0.0,#,#,0.0,1.0,0.3047211266817917,0.7884615384615384,1,64.90610623559606,4838,1755,0.5454545454545454,0.0007980946481818026,41,52
1.0,#,#,#,#,#,#,#,#,0.0,0.0,0.0,0.21643539739450499,0.736318407960199,1,72.29985579243728,4954,1771,0.2727272727272727,0.0008890092368630653,296,402
1.0,#,#,#,#,#,0.0,#,1.0,0.0,1.0,1.0,0.11556972395393464,0.6494845360824743,1,64.07890016819786,4936,1773,0.45454545454545453,0.0007879232055607083,63,97
0.0,#,1.0,#,0.0,#,#,#,#,#,#,0.0,0.20852897962580655,0.7308584686774942,2,63.15311177598508,4984,1786,0.2727272727272727,0.001553079161504195,315,431
#,1.0,1.0,#,1.0,#,#,#,0.0,#,0.0,0.0,0.1991161489782947,0.7241379310344828,1,64.77191747456285,4993,1797,0.45454545454545453,0.0007964446442262731,84,116
0.0,0.0,1.0,#,1.0,#,#,#,#,#,#,1.0,1.0,1.0,13,63.82939150982553,4961,1818,0.36363636363636365,0.010203117754209307,194,194
#,0.0,#,#,1.0,#,#,1.0,1.0,#,#,1.0,0.5196047839523662,0.8772727272727273,2,92.80132352054247,4953,1839,0.36363636363636365,0.0022821963584472235,193,220
1.0,#,#,0.0,#,#,0.0,#,1.0,0.0,1.0,1.0,0.10135100721691906,0.6326530612244898,1,65.30196477558468,4936,1850,0.5454545454545454,0.0008029621806918441,31,49
0.0,1.0,#,#,#,0.0,#,#,#,#,#,0.0,0.20932395022408684,0.7314148681055156,3,75.17878580519616,4976,1851,0.2727272727272727,0.002773226900569848,305,417
