Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Correct Set Size,Average Iteration Age of Correct Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total Selection Time,Total Evaluation Time
58,,,40,42,4,1,58.0,0,0,0,0,0,0.0072400569915771484,0.0019097328186035156,5.269050598144531e-05,0.00022935867309570312,7.534027099609375e-05,0.002929210662841797
59,,,41,43,1,1,59.0,0,0,0,1,0,0.007385969161987305,0.001966714859008789,5.364418029785156e-05,0.0002315044403076172,7.534027099609375e-05,0.0029802322387695312
60,,,43,45,2,2,60.0,0,1,1,0,0,0.007647991180419922,0.0020227432250976562,5.459785461425781e-05,0.00027561187744140625,9.131431579589844e-05,0.0030291080474853516
61,,,43,45,5,3,52.0,0,0,0,0,0,0.007803916931152344,0.00208282470703125,5.555152893066406e-05,0.000278472900390625,9.131431579589844e-05,0.0030858516693115234
62,,,43,45,2,1,48.0,0,0,0,0,0,0.00793600082397461,0.002141714096069336,5.6743621826171875e-05,0.0002796649932861328,9.131431579589844e-05,0.0031359195709228516
63,,,43,45,1,1,45.0,0,0,0,0,0,0.008060932159423828,0.0021979808807373047,5.793571472167969e-05,0.00028061866760253906,9.131431579589844e-05,0.0031828880310058594
64,,,43,45,2,1,47.0,0,0,0,0,0,0.008169889450073242,0.0022559165954589844,5.888938903808594e-05,0.00028252601623535156,9.131431579589844e-05,0.0032110214233398438
65,,,43,45,3,1,60.0,0,0,0,0,0,0.008397102355957031,0.002359628677368164,5.984306335449219e-05,0.0002841949462890625,9.131431579589844e-05,0.0032567977905273438
66,,,43,45,2,1,47.0,0,0,0,0,0,0.008527994155883789,0.0024209022521972656,5.984306335449219e-05,0.000286102294921875,9.131431579589844e-05,0.0033025741577148438
67,,,43,45,5,3,57.5,0,0,0,0,0,0.008678913116455078,0.002483844757080078,6.079673767089844e-05,0.00028824806213378906,9.131431579589844e-05,0.003353595733642578
68,,,43,45,4,2,48.0,0,0,0,0,0,0.008817911148071289,0.002541780471801758,6.198883056640625e-05,0.0002903938293457031,9.131431579589844e-05,0.0034027099609375
